Machine,Trouble,Analysis,Solution
CNC Machine,"Tool magazine(Umbrella
type)","Is there noise for tool
changing?",1. Check the air pressure
CNC Machine,"Tool magazine(Umbrella
type)","Is there noise for tool
changing?","2.Check the milling chuck pull stud model
"
CNC Machine,"Tool magazine(Umbrella
type)","Is there noise for tool
changing?",3.Check the cylindrical travel
CNC Machine,"Tool magazine(Umbrella
type)","Is there noise for tool
changing?",4.Check the oil input.
CNC Machine,Tool magazine(Umbrella type),Is it difficult/impossible to change the tool?,1. Check the air pressure
CNC Machine,Tool magazine(Umbrella type),Is it difficult/impossible to change the tool?,"2. Check the tool magazine manually, if can't move, check
the circuit breaker"
CNC Machine,Tool magazine(Umbrella type),Is it difficult/impossible to change the tool?,3. Check if tool magazine motor phase is right or not
CNC Machine,Tool magazine(Umbrella type),Is it difficult/impossible to change the tool?,"4. Check if the limit switch of tool loosening is in right
position"
CNC Machine,Tool magazine(Umbrella type),Is it difficult/impossible to change the tool?,5. Check if the sensor switch is right or not
CNC Machine,Tool magazine(Umbrella type),Is it difficult/impossible to change the tool?,"6. Check if the tools is hit or the reference point is changing,
adjust 3-axis parameter according to P 2038(MITSUBISHI) or P1241(FANUC)."
CNC Machine,Tool magazine(Umbrella type),Is the tool number in chaos?,1.Check if the motor phase
CNC Machine,Tool magazine(Umbrella type),Is the tool number in chaos?,"2. Reset the tool magazine, and re-perform the procedure"
CNC Machine,Tool magazine(Umbrella type),"Does the tool magazine
keep rotating?",1. Adjust the tool counter
CNC Machine,Tool magazine(Umbrella type),Is tool magazine not drawing back.?,"1.Set Feed Rate knob as 0 under HANDWHEEL model, press RESET to get the tool magazine back."
CNC Machine,Troubleshoot (Arm type),"Is there noise for tool
changing?",1.Check the air pressure
CNC Machine,Troubleshoot (Arm type),"Is there noise for tool
changing",2.Check the milling chuck pull stud model
CNC Machine,Troubleshoot (Arm type),"Is there noise for tool
changing","3.Check the cylindrical travel
"
CNC Machine,Troubleshoot (Arm type),"Is there noise for tool
changing","4.Adjust the second reference position, spindle positioning angle, spindle tool positioning, spindle tool switch positioning etc."
